,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
91,2020-04-01,67,Ozone,Glendora,06-037-0016,AirNow,,67,,,53,,34.0522,-118.2437,Los_Angeles,2020-03-23
92,2020-04-02,50,PM2.5,Glendora,06-037-0016,AirNow,,49,,,50,,34.0522,-118.2437,Los_Angeles,2020-03-23
93,2020-04-03,54,Ozone,Pasadena,06-037-2005,AirNow,,54,,,53,,34.0522,-118.2437,Los_Angeles,2020-03-23
94,2020-04-04,51,Ozone,Reseda,06-037-1201,AirNow,,51,,,45,,34.0522,-118.2437,Los_Angeles,2020-03-23
95,2020-04-05,37,Ozone,Pomona,06-037-1701,AirNow,,37,,,32,,34.0522,-118.2437,Los_Angeles,2020-03-23
96,2020-04-06,42,Ozone,Reseda,06-037-1201,AirNow,,42,,,23,,34.0522,-118.2437,Los_Angeles,2020-03-23
97,2020-04-07,40,Ozone,Reseda,06-037-1201,AirNow,,40,,,26,,34.0522,-118.2437,Los_Angeles,2020-03-23
98,2020-04-08,43,Ozone,Reseda,06-037-1201,AirNow,,43,,,26,,34.0522,-118.2437,Los_Angeles,2020-03-23
99,2020-04-09,35,Ozone,Reseda,06-037-1201,AirNow,,35,,,22,,34.0522,-118.2437,Los_Angeles,2020-03-23
100,2019-01-01,67,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,19.0,39,3.0,23.0,67,37.0,34.0522,-118.2437,Los_Angeles,2020-03-23
101,2019-01-02,93,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23.0,36,3.0,22.0,93,68.0,34.0522,-118.2437,Los_Angeles,2020-03-23
102,2019-01-03,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,19.0,33,6.0,44.0,67,64.0,34.0522,-118.2437,Los_Angeles,2020-03-23
103,2019-01-04,85,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,20.0,30,4.0,30.0,85,61.0,34.0522,-118.2437,Los_Angeles,2020-03-23
104,2019-01-05,83,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23.0,35,1.0,26.0,83,44.0,34.0522,-118.2437,Los_Angeles,2020-03-23
105,2019-01-06,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,6.0,39,1.0,11.0,52,33.0,34.0522,-118.2437,Los_Angeles,2020-03-23
106,2019-01-07,53,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,15.0,38,1.0,14.0,51,53.0,34.0522,-118.2437,Los_Angeles,2020-03-23
107,2019-01-08,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,18.0,37,1.0,16.0,62,53.0,34.0522,-118.2437,Los_Angeles,2020-03-23
