,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
137,2019-02-06,80,NO2,Fort Lee Near Road,34-003-0010,AQS,7,28,3,.,42,80,40.7128,-74.006,New_York,2020-03-23
138,2019-02-07,51,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,25,1,.,51,41,40.7128,-74.006,New_York,2020-03-23
139,2019-02-08,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,35,4,9,43,37,40.7128,-74.006,New_York,2020-03-23
140,2019-02-09,37,Ozone,MILLBROOK,36-027-0007,AQS,5,37,3,.,35,15,40.7128,-74.006,New_York,2020-03-23
141,2019-02-10,35,Ozone,MILLBROOK,36-027-0007,AQS,6,35,3,.,30,30,40.7128,-74.006,New_York,2020-03-23
142,2019-02-11,58,PM2.5,Rutgers University,34-023-0011,AQS,10,35,3,18,58,46,40.7128,-74.006,New_York,2020-03-23
143,2019-02-12,63,NO2,Fort Lee Near Road,34-003-0010,AQS,8,40,14,.,42,63,40.7128,-74.006,New_York,2020-03-23
144,2019-02-13,42,PM2.5,Intermediate School 143,36-061-0115,AQS,9,38,1,.,42,41,40.7128,-74.006,New_York,2020-03-23
145,2019-02-14,51,NO2,Newark Firehouse,34-013-0003,AQS,8,44,3,15,50,51,40.7128,-74.006,New_York,2020-03-23
146,2019-02-15,68,NO2,Fort Lee Near Road,34-003-0010,AQS,10,43,3,.,63,68,40.7128,-74.006,New_York,2020-03-23
147,2019-02-16,39,PM2.5,PS 19,36-061-0128,AQS,8,38,3,.,39,19,40.7128,-74.006,New_York,2020-03-23
148,2019-02-17,40,Ozone,MILLBROOK,36-027-0007,AQS,8,40,1,.,30,27,40.7128,-74.006,New_York,2020-03-23
149,2019-02-18,42,NO2,Bayonne,34-017-0006,AQS,10,41,1,.,41,42,40.7128,-74.006,New_York,2020-03-23
150,2019-02-19,42,Ozone,MILLBROOK,36-027-0007,AQS,7,42,4,.,40,35,40.7128,-74.006,New_York,2020-03-23
151,2019-02-20,91,NO2,Fort Lee Near Road,34-003-0010,AQS,7,38,1,14,57,91,40.7128,-74.006,New_York,2020-03-23
152,2019-02-21,60,NO2,Fort Lee Near Road,34-003-0010,AQS,7,42,3,.,44,60,40.7128,-74.006,New_York,2020-03-23
153,2019-02-22,52,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,46,1,.,52,37,40.7128,-74.006,New_York,2020-03-23
154,2019-02-23,51,PM2.5,Paterson,34-031-0005,AQS,8,41,1,11,51,37,40.7128,-74.006,New_York,2020-03-23
155,2019-02-24,47,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,43,0,.,47,39,40.7128,-74.006,New_York,2020-03-23
156,2019-02-25,45,PM2.5,Intermediate School 143,36-061-0115,AQS,3,43,1,.,45,17,40.7128,-74.006,New_York,2020-03-23
157,2019-02-26,42,NO2,Fort Lee Near Road,34-003-0010,AQS,3,41,1,9,38,42,40.7128,-74.006,New_York,2020-03-23
158,2019-02-27,103,NO2,Fort Lee Near Road,34-003-0010,AQS,9,39,1,.,30,103,40.7128,-74.006,New_York,2020-03-23
159,2019-02-28,54,NO2,Fort Lee Near Road,34-003-0010,AQS,8,41,3,.,53,54,40.7128,-74.006,New_York,2020-03-23
160,2019-03-01,94,NO2,Fort Lee Near Road,34-003-0010,AQS,8,41,1,15,66,94,40.7128,-74.006,New_York,2020-03-23
161,2019-03-02,52,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,43,1,.,52,35,40.7128,-74.006,New_York,2020-03-23
162,2019-03-03,60,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,47,1,.,60,58,40.7128,-74.006,New_York,2020-03-23
163,2019-03-04,47,Ozone,Rutgers University,34-023-0011,AQS,11,47,4,10,38,42,40.7128,-74.006,New_York,2020-03-23
164,2019-03-05,51,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,42,3,.,51,42,40.7128,-74.006,New_York,2020-03-23
165,2019-03-06,49,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,43,1,.,49,31,40.7128,-74.006,New_York,2020-03-23
166,2019-03-07,56,PM2.5,Rahway,34-039-2003,AQS,8,44,3,17,56,44,40.7128,-74.006,New_York,2020-03-23
167,2019-03-08,71,NO2,Elizabeth Lab,34-039-0004,AQS,16,46,4,.,66,71,40.7128,-74.006,New_York,2020-03-23
168,2019-03-09,81,PM2.5,Jersey City Firehouse,34-017-1003,AQS,8,58,6,.,81,49,40.7128,-74.006,New_York,2020-03-23
169,2019-03-10,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,49,3,16,59,51,40.7128,-74.006,New_York,2020-03-23
170,2019-03-11,48,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,48,1,.,48,47,40.7128,-74.006,New_York,2020-03-23
171,2019-03-12,45,Ozone,Colliers Mills,34-029-0006,AQS,5,45,4,.,36,39,40.7128,-74.006,New_York,2020-03-23
172,2019-03-13,64,NO2,Bayonne,34-017-0006,AQS,10,47,3,19,56,64,40.7128,-74.006,New_York,2020-03-23
173,2019-03-14,56,NO2,Newark Firehouse,34-013-0003,AQS,8,54,3,.,54,56,40.7128,-74.006,New_York,2020-03-23
174,2019-03-15,64,PM2.5,Fort Lee Near Road,34-003-0010,AQS,8,51,1,.,64,54,40.7128,-74.006,New_York,2020-03-23
175,2019-03-16,43,Ozone,Flemington,34-019-0001,AQS,3,43,0,6,39,15,40.7128,-74.006,New_York,2020-03-23
176,2019-03-17,44,Ozone,RIVERHEAD,36-103-0004,AQS,5,44,1,.,36,38,40.7128,-74.006,New_York,2020-03-23
177,2019-03-18,64,NO2,Bayonne,34-017-0006,AQS,9,43,3,.,33,64,40.7128,-74.006,New_York,2020-03-23
178,2019-03-19,54,NO2,Newark Firehouse,34-013-0003,AQS,11,44,4,8,42,54,40.7128,-74.006,New_York,2020-03-23
