,date,Overall_AQI_Value,main_pollutant,site_name,Lat ,Lon,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
73,2020-03-14,38,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,32,,,38,,43.615,-116.2023,Boise,2020-03-25
74,2020-03-15,28,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,28,,,25,,43.615,-116.2023,Boise,2020-03-25
75,2020-03-16,30,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,29,,,30,,43.615,-116.2023,Boise,2020-03-25
76,2020-03-17,32,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,32,,,30,,43.615,-116.2023,Boise,2020-03-25
77,2020-03-18,33,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,33,,,21,,43.615,-116.2023,Boise,2020-03-25
78,2020-03-19,42,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,34,,,42,,43.615,-116.2023,Boise,2020-03-25
79,2020-03-20,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AirNow,,33,,,40,,43.615,-116.2023,Boise,2020-03-25
80,2020-03-21,53,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AirNow,,42,,,53,,43.615,-116.2023,Boise,2020-03-25
81,2020-03-22,40,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,40,,,37,,43.615,-116.2023,Boise,2020-03-25
82,2020-03-23,32,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,32,,,25,,43.615,-116.2023,Boise,2020-03-25
83,2020-03-24,25,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,.,,,25,,43.615,-116.2023,Boise,2020-03-25
84,2020-03-25,35,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,35,,,21,,43.615,-116.2023,Boise,2020-03-25
85,2020-03-26,35,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,35,,,24,,43.615,-116.2023,Boise,2020-03-25
86,2020-03-27,41,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0020,AirNow,,39,,,41,,43.615,-116.2023,Boise,2020-03-25
87,2020-03-28,36,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,36,,,35,,43.615,-116.2023,Boise,2020-03-25
88,2020-03-29,31,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,31,,,23,,43.615,-116.2023,Boise,2020-03-25
89,2020-03-30,28,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,28,,,18,,43.615,-116.2023,Boise,2020-03-25
90,2020-03-31,31,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,31,,,23,,43.615,-116.2023,Boise,2020-03-25
91,2020-04-01,34,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,34,,,20,,43.615,-116.2023,Boise,2020-03-25
92,2020-04-02,34,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,34,,,21,,43.615,-116.2023,Boise,2020-03-25
93,2020-04-03,32,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,32,,,27,,43.615,-116.2023,Boise,2020-03-25
94,2020-04-04,32,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,32,,,27,,43.615,-116.2023,Boise,2020-03-25
95,2020-04-05,29,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,29,,,18,,43.615,-116.2023,Boise,2020-03-25
96,2020-04-06,31,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,31,,,28,,43.615,-116.2023,Boise,2020-03-25
97,2020-04-07,31,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0017,AirNow,,31,,,26,,43.615,-116.2023,Boise,2020-03-25
98,2020-04-08,36,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,36,,,33,,43.615,-116.2023,Boise,2020-03-25
99,2020-04-09,41,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0017,AirNow,,41,,,40,,43.615,-116.2023,Boise,2020-03-25
100,2020-04-10,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,40,,,40,,43.615,-116.2023,Boise,2020-03-25
101,2019-01-01,79,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,28,0,13,79,.,43.615,-116.2023,Boise,2020-03-25
102,2019-01-02,52,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,22,0,9,52,.,43.615,-116.2023,Boise,2020-03-25
103,2019-01-03,46,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,21,1,16,46,.,43.615,-116.2023,Boise,2020-03-25
104,2019-01-04,55,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,15.0,18,1,27,55,.,43.615,-116.2023,Boise,2020-03-25
105,2019-01-05,70,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,15.0,33,3,18,70,.,43.615,-116.2023,Boise,2020-03-25
106,2019-01-06,58,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,31,0,9,58,.,43.615,-116.2023,Boise,2020-03-25
107,2019-01-07,36,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,31,0,10,36,.,43.615,-116.2023,Boise,2020-03-25
108,2019-01-08,46,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,10.0,29,0,13,46,.,43.615,-116.2023,Boise,2020-03-25
109,2019-01-09,80,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,10.0,22,0,14,80,.,43.615,-116.2023,Boise,2020-03-25
110,2019-01-10,72,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,23,1,19,72,.,43.615,-116.2023,Boise,2020-03-25
111,2019-01-11,54,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,24,1,11,54,.,43.615,-116.2023,Boise,2020-03-25
112,2019-01-12,61,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,28,1,10,61,.,43.615,-116.2023,Boise,2020-03-25
113,2019-01-13,62,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,24,0,16,62,.,43.615,-116.2023,Boise,2020-03-25
114,2019-01-14,63,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,21,1,21,63,.,43.615,-116.2023,Boise,2020-03-25
115,2019-01-15,86,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,13,3,15,86,.,43.615,-116.2023,Boise,2020-03-25
116,2019-01-16,63,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,31,3,14,63,.,43.615,-116.2023,Boise,2020-03-25
117,2019-01-17,66,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,31,1,7,66,.,43.615,-116.2023,Boise,2020-03-25
118,2019-01-18,48,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,30,0,9,48,.,43.615,-116.2023,Boise,2020-03-25
119,2019-01-19,58,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,30,0,4,58,.,43.615,-116.2023,Boise,2020-03-25
120,2019-01-20,64,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,24,1,8,64,.,43.615,-116.2023,Boise,2020-03-25
121,2019-01-21,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,31,0,7,40,.,43.615,-116.2023,Boise,2020-03-25
122,2019-01-22,37,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,24,0,11,37,.,43.615,-116.2023,Boise,2020-03-25
123,2019-01-23,58,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,21,0,9,58,.,43.615,-116.2023,Boise,2020-03-25
124,2019-01-24,55,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AQS,6.0,23,1,19,55,.,43.615,-116.2023,Boise,2020-03-25
125,2019-01-25,50,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,.,.,21,50,.,43.615,-116.2023,Boise,2020-03-25
126,2019-01-26,64,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,23,1,19,64,.,43.615,-116.2023,Boise,2020-03-25
127,2019-01-27,56,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,20,0,17,56,.,43.615,-116.2023,Boise,2020-03-25
