Date,Overall_AQI_Value,Main Pollutant,SiteName (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/10/2019,30,PM2.5,Portland,53-011-0024,AQS,6,19,0,.,30,23
1/11/2019,73,PM2.5,Portland,53-011-0024,AQS,6,19,0,.,73,10
1/12/2019,63,PM2.5,Portland,53-011-0024,AQS,2,21,0,4,63,5
01/13/2019,62,PM2.5,Portland,53-011-0024,AQS,2,24,0,.,62,4
01/14/2019,32,PM2.5,Portland,53-011-0022,AQS,2,23,0,.,32,6
01/15/2019,48,PM2.5,Portland,53-011-0024,AQS,2,19,0,14,48,5
01/16/2019,55,PM2.5,Portland,53-011-0024,AQS,2,18,0,.,55,7
01/17/2019,32,Ozone,Portland,41-051-0080,AQS,5,32,0,.,16,16
01/18/2019,27,NO2,Portland,41-051-0080,AQS,7,22,1,5,23,27
01/19/2019,46,PM2.5,Portland,41-067-0004,AQS,8,14,1,.,46,23
01/20/2019,43,PM2.5,Portland,41-067-0111,AQS,8,18,0,.,43,25
01/21/2019,52,PM2.5,Portland,41-051-0080,AQS,7,11,0,15,52,23
01/22/2019,28,PM2.5,Portland,41-051-0080,AQS,6,28,0,.,28,20
01/23/2019,30,Ozone,Portland,41-051-0080,AQS,6,30,0,.,17,25
01/24/2019,56,PM2.5,Portland,53-011-0024,AQS,9,12,.,16,56,32
01/25/2019,60,PM2.5,Portland,41-051-0080,AQS,13,6,.,.,60,23
01/26/2019,82,PM2.5,Portland,41-051-0080,AQS,18,3,.,.,82,16
01/27/2019,72,PM2.5,Portland,41-051-2011,AQS,11,8,.,20,72,18
01/28/2019,33,PM2.5,Portland,53-011-0024,AQS,7,29,.,.,33,12
01/29/2019,51,PM2.5,Portland,53-011-0024,AQS,2,25,.,.,51,6
01/30/2019,64,PM2.5,Portland,41-067-0004,AQS,7,22,.,7,64,26
01/31/2019,76,PM2.5,Portland,41-067-0004,AQS,9,12,.,.,76,28
2/1/2019,84,PM2.5,Portland,41-067-0004,AQS,8,8,.,.,84,23
